positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
9.0,5.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0
16.0,18.0,7.0,1.0,22.0,16.0,14.0,16.0,11.0,9.0,0
17.0,10.0,8.0,1.0,5.0,3.0,8.0,8.0,3.0,1.0,0
26.0,27.0,4.0,7.0,7.0,1.0,5.0,4.0,9.0,1.0,0
18.0,8.0,12.0,3.0,5.0,1.0,8.0,6.0,3.0,0.0,0
43.0,44.0,17.0,4.0,27.0,17.0,21.0,17.0,12.0,11.0,0
269.0,244.0,143.0,80.0,230.0,113.0,130.0,93.0,76.0,53.0,0
42.0,34.0,15.0,6.0,35.0,28.0,20.0,19.0,7.0,12.0,0
25.0,25.0,9.0,4.0,7.0,4.0,10.0,6.0,5.0,2.0,0
17.0,17.0,8.0,4.0,8.0,7.0,6.0,4.0,8.0,3.0,0
34.0,30.0,9.0,7.0,15.0,4.0,13.0,10.0,6.0,2.0,0
6.0,5.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0
8.0,11.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,0
17.0,11.0,12.0,4.0,6.0,2.0,5.0,5.0,5.0,1.0,0
11.0,13.0,5.0,3.0,6.0,5.0,7.0,3.0,5.0,5.0,0
14.0,16.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,0
6.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,0
7.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0
22.0,24.0,6.0,3.0,24.0,19.0,8.0,8.0,4.0,5.0,0
13.0,15.0,7.0,2.0,8.0,5.0,4.0,3.0,5.0,1.0,0
21.0,20.0,8.0,3.0,12.0,6.0,12.0,6.0,9.0,2.0,0
14.0,17.0,7.0,2.0,18.0,8.0,10.0,9.0,9.0,5.0,0
25.0,31.0,9.0,3.0,24.0,13.0,17.0,15.0,13.0,8.0,0
24.0,20.0,16.0,6.0,13.0,10.0,11.0,9.0,8.0,5.0,0
27.0,21.0,13.0,9.0,15.0,12.0,10.0,7.0,9.0,4.0,0
25.0,31.0,9.0,3.0,24.0,13.0,17.0,15.0,13.0,8.0,0
10.0,12.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0
17.0,17.0,8.0,3.0,10.0,6.0,8.0,4.0,8.0,3.0,0
23.0,19.0,8.0,8.0,7.0,7.0,6.0,3.0,8.0,4.0,0
139.0,103.0,71.0,60.0,37.0,27.0,22.0,25.0,20.0,7.0,1
88.0,68.0,24.0,31.0,27.0,17.0,11.0,15.0,11.0,3.0,0
7.0,18.0,5.0,2.0,8.0,5.0,1.0,3.0,3.0,3.0,0
26.0,18.0,12.0,9.0,11.0,8.0,10.0,11.0,5.0,6.0,0
66.0,44.0,29.0,22.0,30.0,25.0,15.0,18.0,12.0,7.0,1
16.0,12.0,10.0,7.0,6.0,2.0,4.0,4.0,6.0,2.0,0
7.0,9.0,2.0,2.0,5.0,2.0,5.0,3.0,2.0,1.0,0
110.0,76.0,64.0,28.0,87.0,50.0,44.0,49.0,23.0,30.0,0
26.0,27.0,11.0,7.0,5.0,4.0,4.0,5.0,8.0,0.0,0
4.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0
12.0,5.0,5.0,3.0,7.0,2.0,2.0,1.0,4.0,1.0,0
84.0,61.0,50.0,32.0,60.0,35.0,32.0,17.0,63.0,8.0,0
20.0,19.0,12.0,6.0,7.0,6.0,3.0,6.0,3.0,3.0,1
22.0,26.0,10.0,4.0,8.0,2.0,9.0,9.0,8.0,2.0,0
3.0,1.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,0
29.0,20.0,12.0,5.0,9.0,3.0,4.0,4.0,10.0,0.0,1
7.0,7.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0
29.0,20.0,12.0,5.0,9.0,3.0,4.0,4.0,10.0,0.0,1
